id;line_id;uplink_port;ip_address;ts_last_query;ts_last_query_success
1;Tools;Pennsylvania Rubber Direct;Handcrafted Soft Car Division;infrastructures Baby Bedfordshire;Licensed Rubber Ball Licensed Granite Car Quality
2;Investment Account Hat;Chief;Iowa Steel;communities static Frozen;Brand middleware Customer
3;optical frictionless;core;alarm Incredible Liaison;Tuna navigating;hard drive Creative
4;Facilitator alarm;Music Montana deposit;auxiliary Fresh Incredible;Games Analyst empower;Pound Sterling transmit Valleys
5;withdrawal Ergonomic;synthesize;Administrator;Heights applications Belarussian Ruble;Implementation
6;maximize scalable;Incredible Soft Mouse Regional drive;analyzer Beauty;Rubber port sticky;EXE open-source
7;Engineer Unbranded Plastic Bacon;Refined Fresh Pants Table Home Loan Account;Open-source;Clothing fresh-thinking;Computers
8;RAM;plum connecting Creek;cyan migration;Cotton;overriding Unbranded Rubber Car Officer
9;payment;recontextualize Architect circuit;Analyst invoice;Licensed Granite Tuna Assistant Canadian Dollar;magenta COM program
10;Pennsylvania TCP;calculating revolutionize;withdrawal;navigate;empower
